Vivado Simulator 2020.2
Time resolution is 1 ps
[SCB] write: 1, addr: 011, wdata: 01, rdata:01
[GEN] write: 1, addr: 013, wdata: 32, rdata:xx
[DRV] write: 1, addr: 013, wdata: 32, rdata:xx
[MON] write: 1, addr: 013, wdata: 32, rdata:32
[SCB] write: 1, addr: 013, wdata: 32, rdata:32
[GEN] write: 0, addr: 00f, wdata: 04, rdata:xx
[DRV] write: 0, addr: 00f, wdata: 04, rdata:xx
[MON] write: 0, addr: 00f, wdata: 04, rdata:36
[SCB] write: 0, addr: 00f, wdata: 04, rdata:36
rdata : 36 == trans.rdata : 36 [pass!!!]
[GEN] write: 1, addr: 010, wdata: 08, rdata:xx
[DRV] write: 1, addr: 010, wdata: 08, rdata:xx
[MON] write: 1, addr: 010, wdata: 08, rdata:08
[SCB] write: 1, addr: 010, wdata: 08, rdata:08
[GEN] write: 1, addr: 013, wdata: 2c, rdata:xx
[DRV] write: 1, addr: 013, wdata: 2c, rdata:xx
[MON] write: 1, addr: 013, wdata: 2c, rdata:2c
[SCB] write: 1, addr: 013, wdata: 2c, rdata:2c
[GEN] write: 1, addr: 013, wdata: 5e, rdata:xx
[DRV] write: 1, addr: 013, wdata: 5e, rdata:xx
[MON] write: 1, addr: 013, wdata: 5e, rdata:5e
[SCB] write: 1, addr: 013, wdata: 5e, rdata:5e
[GEN] write: 1, addr: 00e, wdata: 31, rdata:xx
[DRV] write: 1, addr: 00e, wdata: 31, rdata:xx
[MON] write: 1, addr: 00e, wdata: 31, rdata:31
[SCB] write: 1, addr: 00e, wdata: 31, rdata:31
[GEN] write: 1, addr: 00d, wdata: 03, rdata:xx
[DRV] write: 1, addr: 00d, wdata: 03, rdata:xx
[MON] write: 1, addr: 00d, wdata: 03, rdata:03
[SCB] write: 1, addr: 00d, wdata: 03, rdata:03
[GEN] write: 1, addr: 012, wdata: 52, rdata:xx
[DRV] write: 1, addr: 012, wdata: 52, rdata:xx
[MON] write: 1, addr: 012, wdata: 52, rdata:52
[SCB] write: 1, addr: 012, wdata: 52, rdata:52
[GEN] write: 1, addr: 011, wdata: 02, rdata:xx
[DRV] write: 1, addr: 011, wdata: 02, rdata:xx
[MON] write: 1, addr: 011, wdata: 02, rdata:02
[SCB] write: 1, addr: 011, wdata: 02, rdata:02
[GEN] write: 0, addr: 00f, wdata: 1f, rdata:xx
[DRV] write: 0, addr: 00f, wdata: 1f, rdata:xx
[MON] write: 0, addr: 00f, wdata: 1f, rdata:36
[SCB] write: 0, addr: 00f, wdata: 1f, rdata:36
rdata : 36 == trans.rdata : 36 [pass!!!]
[GEN] write: 0, addr: 00d, wdata: 63, rdata:xx
[DRV] write: 0, addr: 00d, wdata: 63, rdata:xx
[MON] write: 0, addr: 00d, wdata: 63, rdata:03
[SCB] write: 0, addr: 00d, wdata: 63, rdata:03
rdata : 03 == trans.rdata : 03 [pass!!!]
[GEN] write: 1, addr: 011, wdata: 53, rdata:xx
[DRV] write: 1, addr: 011, wdata: 53, rdata:xx
[MON] write: 1, addr: 011, wdata: 53, rdata:53
[SCB] write: 1, addr: 011, wdata: 53, rdata:53
[GEN] write: 0, addr: 010, wdata: 0e, rdata:xx
[DRV] write: 0, addr: 010, wdata: 0e, rdata:xx
[MON] write: 0, addr: 010, wdata: 0e, rdata:08
[SCB] write: 0, addr: 010, wdata: 0e, rdata:08
rdata : 08 == trans.rdata : 08 [pass!!!]
[GEN] write: 1, addr: 00e, wdata: 12, rdata:xx
[DRV] write: 1, addr: 00e, wdata: 12, rdata:xx
[MON] write: 1, addr: 00e, wdata: 12, rdata:12
[SCB] write: 1, addr: 00e, wdata: 12, rdata:12
[GEN] write: 1, addr: 012, wdata: 49, rdata:xx
[DRV] write: 1, addr: 012, wdata: 49, rdata:xx
[MON] write: 1, addr: 012, wdata: 49, rdata:49
[SCB] write: 1, addr: 012, wdata: 49, rdata:49
[GEN] write: 0, addr: 012, wdata: 00, rdata:xx
[DRV] write: 0, addr: 012, wdata: 00, rdata:xx
[MON] write: 0, addr: 012, wdata: 00, rdata:49
[SCB] write: 0, addr: 012, wdata: 00, rdata:49
rdata : 49 == trans.rdata : 49 [pass!!!]
[GEN] write: 0, addr: 010, wdata: 1e, rdata:xx
[DRV] write: 0, addr: 010, wdata: 1e, rdata:xx
[MON] write: 0, addr: 010, wdata: 1e, rdata:08
[SCB] write: 0, addr: 010, wdata: 1e, rdata:08
rdata : 08 == trans.rdata : 08 [pass!!!]
[GEN] write: 0, addr: 00d, wdata: 07, rdata:xx
[DRV] write: 0, addr: 00d, wdata: 07, rdata:xx
[MON] write: 0, addr: 00d, wdata: 07, rdata:03
[SCB] write: 0, addr: 00d, wdata: 07, rdata:03
rdata : 03 == trans.rdata : 03 [pass!!!]
[GEN] write: 1, addr: 00c, wdata: 63, rdata:xx
[DRV] write: 1, addr: 00c, wdata: 63, rdata:xx
[MON] write: 1, addr: 00c, wdata: 63, rdata:63
[SCB] write: 1, addr: 00c, wdata: 63, rdata:63
[GEN] write: 1, addr: 00b, wdata: 40, rdata:xx
[DRV] write: 1, addr: 00b, wdata: 40, rdata:xx
[MON] write: 1, addr: 00b, wdata: 40, rdata:40
[SCB] write: 1, addr: 00b, wdata: 40, rdata:40
[GEN] write: 1, addr: 00c, wdata: 1e, rdata:xx
[DRV] write: 1, addr: 00c, wdata: 1e, rdata:xx
[MON] write: 1, addr: 00c, wdata: 1e, rdata:1e
[SCB] write: 1, addr: 00c, wdata: 1e, rdata:1e
[GEN] write: 1, addr: 00e, wdata: 4f, rdata:xx
[DRV] write: 1, addr: 00e, wdata: 4f, rdata:xx
[MON] write: 1, addr: 00e, wdata: 4f, rdata:4f
[SCB] write: 1, addr: 00e, wdata: 4f, rdata:4f
[GEN] write: 0, addr: 013, wdata: 50, rdata:xx
[DRV] write: 0, addr: 013, wdata: 50, rdata:xx
[MON] write: 0, addr: 013, wdata: 50, rdata:5e
[SCB] write: 0, addr: 013, wdata: 50, rdata:5e
rdata : 5e == trans.rdata : 5e [pass!!!]
[GEN] write: 1, addr: 00b, wdata: 2b, rdata:xx
[DRV] write: 1, addr: 00b, wdata: 2b, rdata:xx
[MON] write: 1, addr: 00b, wdata: 2b, rdata:2b
[SCB] write: 1, addr: 00b, wdata: 2b, rdata:2b
[GEN] write: 1, addr: 012, wdata: 15, rdata:xx
[DRV] write: 1, addr: 012, wdata: 15, rdata:xx
[MON] write: 1, addr: 012, wdata: 15, rdata:15
[SCB] write: 1, addr: 012, wdata: 15, rdata:15
[GEN] write: 1, addr: 012, wdata: 13, rdata:xx
[DRV] write: 1, addr: 012, wdata: 13, rdata:xx
[MON] write: 1, addr: 012, wdata: 13, rdata:13
[SCB] write: 1, addr: 012, wdata: 13, rdata:13
[GEN] write: 0, addr: 00c, wdata: 1b, rdata:xx
[DRV] write: 0, addr: 00c, wdata: 1b, rdata:xx
[MON] write: 0, addr: 00c, wdata: 1b, rdata:1e
[SCB] write: 0, addr: 00c, wdata: 1b, rdata:1e
rdata : 1e == trans.rdata : 1e [pass!!!]
[GEN] write: 1, addr: 012, wdata: 02, rdata:xx
[DRV] write: 1, addr: 012, wdata: 02, rdata:xx
[MON] write: 1, addr: 012, wdata: 02, rdata:02
[SCB] write: 1, addr: 012, wdata: 02, rdata:02
[GEN] write: 1, addr: 010, wdata: 28, rdata:xx
[DRV] write: 1, addr: 010, wdata: 28, rdata:xx
[MON] write: 1, addr: 010, wdata: 28, rdata:28
[SCB] write: 1, addr: 010, wdata: 28, rdata:28
[GEN] write: 0, addr: 011, wdata: 5b, rdata:xx
[DRV] write: 0, addr: 011, wdata: 5b, rdata:xx
[MON] write: 0, addr: 011, wdata: 5b, rdata:53
[SCB] write: 0, addr: 011, wdata: 5b, rdata:53
rdata : 53 == trans.rdata : 53 [pass!!!]
[GEN] write: 1, addr: 00c, wdata: 3f, rdata:xx
[DRV] write: 1, addr: 00c, wdata: 3f, rdata:xx
[MON] write: 1, addr: 00c, wdata: 3f, rdata:3f
[SCB] write: 1, addr: 00c, wdata: 3f, rdata:3f
[GEN] write: 1, addr: 013, wdata: 58, rdata:xx
[DRV] write: 1, addr: 013, wdata: 58, rdata:xx
[MON] write: 1, addr: 013, wdata: 58, rdata:58
[SCB] write: 1, addr: 013, wdata: 58, rdata:58
[GEN] write: 0, addr: 00c, wdata: 24, rdata:xx
[DRV] write: 0, addr: 00c, wdata: 24, rdata:xx
[MON] write: 0, addr: 00c, wdata: 24, rdata:3f
[SCB] write: 0, addr: 00c, wdata: 24, rdata:3f
rdata : 3f == trans.rdata : 3f [pass!!!]
[GEN] write: 1, addr: 012, wdata: 31, rdata:xx
[DRV] write: 1, addr: 012, wdata: 31, rdata:xx
[MON] write: 1, addr: 012, wdata: 31, rdata:31
[SCB] write: 1, addr: 012, wdata: 31, rdata:31
[GEN] write: 1, addr: 011, wdata: 33, rdata:xx
[DRV] write: 1, addr: 011, wdata: 33, rdata:xx
[MON] write: 1, addr: 011, wdata: 33, rdata:33
[SCB] write: 1, addr: 011, wdata: 33, rdata:33
[GEN] write: 1, addr: 011, wdata: 38, rdata:xx
[DRV] write: 1, addr: 011, wdata: 38, rdata:xx
[MON] write: 1, addr: 011, wdata: 38, rdata:38
[SCB] write: 1, addr: 011, wdata: 38, rdata:38
[GEN] write: 1, addr: 012, wdata: 24, rdata:xx
[DRV] write: 1, addr: 012, wdata: 24, rdata:xx
[MON] write: 1, addr: 012, wdata: 24, rdata:24
[SCB] write: 1, addr: 012, wdata: 24, rdata:24
[GEN] write: 1, addr: 010, wdata: 49, rdata:xx
[DRV] write: 1, addr: 010, wdata: 49, rdata:xx
[MON] write: 1, addr: 010, wdata: 49, rdata:49
[SCB] write: 1, addr: 010, wdata: 49, rdata:49
[GEN] write: 1, addr: 00d, wdata: 3d, rdata:xx
[DRV] write: 1, addr: 00d, wdata: 3d, rdata:xx
[MON] write: 1, addr: 00d, wdata: 3d, rdata:3d
[SCB] write: 1, addr: 00d, wdata: 3d, rdata:3d
[GEN] write: 0, addr: 00e, wdata: 25, rdata:xx
[DRV] write: 0, addr: 00e, wdata: 25, rdata:xx
[MON] write: 0, addr: 00e, wdata: 25, rdata:4f
[SCB] write: 0, addr: 00e, wdata: 25, rdata:4f
rdata : 4f == trans.rdata : 4f [pass!!!]
[GEN] write: 1, addr: 013, wdata: 56, rdata:xx
[DRV] write: 1, addr: 013, wdata: 56, rdata:xx
[MON] write: 1, addr: 013, wdata: 56, rdata:56
[SCB] write: 1, addr: 013, wdata: 56, rdata:56
[GEN] write: 1, addr: 012, wdata: 19, rdata:xx
[DRV] write: 1, addr: 012, wdata: 19, rdata:xx
[MON] write: 1, addr: 012, wdata: 19, rdata:19
[SCB] write: 1, addr: 012, wdata: 19, rdata:19
[GEN] write: 0, addr: 013, wdata: 46, rdata:xx
[DRV] write: 0, addr: 013, wdata: 46, rdata:xx
[MON] write: 0, addr: 013, wdata: 46, rdata:56
[SCB] write: 0, addr: 013, wdata: 46, rdata:56
rdata : 56 == trans.rdata : 56 [pass!!!]
[GEN] write: 1, addr: 010, wdata: 48, rdata:xx
[DRV] write: 1, addr: 010, wdata: 48, rdata:xx
[MON] write: 1, addr: 010, wdata: 48, rdata:48
[SCB] write: 1, addr: 010, wdata: 48, rdata:48
[GEN] write: 1, addr: 013, wdata: 45, rdata:xx
[DRV] write: 1, addr: 013, wdata: 45, rdata:xx
[MON] write: 1, addr: 013, wdata: 45, rdata:45
[SCB] write: 1, addr: 013, wdata: 45, rdata:45
[GEN] write: 0, addr: 013, wdata: 22, rdata:xx
[DRV] write: 0, addr: 013, wdata: 22, rdata:xx
[MON] write: 0, addr: 013, wdata: 22, rdata:45
[SCB] write: 0, addr: 013, wdata: 22, rdata:45
rdata : 45 == trans.rdata : 45 [pass!!!]
[GEN] write: 1, addr: 012, wdata: 34, rdata:xx
[DRV] write: 1, addr: 012, wdata: 34, rdata:xx
[MON] write: 1, addr: 012, wdata: 34, rdata:34
[SCB] write: 1, addr: 012, wdata: 34, rdata:34
[GEN] write: 1, addr: 00c, wdata: 13, rdata:xx
[DRV] write: 1, addr: 00c, wdata: 13, rdata:xx
[MON] write: 1, addr: 00c, wdata: 13, rdata:13
[SCB] write: 1, addr: 00c, wdata: 13, rdata:13
[GEN] write: 1, addr: 00e, wdata: 55, rdata:xx
[DRV] write: 1, addr: 00e, wdata: 55, rdata:xx
[MON] write: 1, addr: 00e, wdata: 55, rdata:55
[SCB] write: 1, addr: 00e, wdata: 55, rdata:55
[GEN] write: 1, addr: 011, wdata: 22, rdata:xx
[DRV] write: 1, addr: 011, wdata: 22, rdata:xx
[MON] write: 1, addr: 011, wdata: 22, rdata:22
[SCB] write: 1, addr: 011, wdata: 22, rdata:22
[GEN] write: 1, addr: 00b, wdata: 4e, rdata:xx
[DRV] write: 1, addr: 00b, wdata: 4e, rdata:xx
[MON] write: 1, addr: 00b, wdata: 4e, rdata:4e
[SCB] write: 1, addr: 00b, wdata: 4e, rdata:4e
[GEN] write: 1, addr: 011, wdata: 38, rdata:xx
[DRV] write: 1, addr: 011, wdata: 38, rdata:xx
[MON] write: 1, addr: 011, wdata: 38, rdata:38
[SCB] write: 1, addr: 011, wdata: 38, rdata:38
[GEN] write: 1, addr: 010, wdata: 0a, rdata:xx
[DRV] write: 1, addr: 010, wdata: 0a, rdata:xx
[MON] write: 1, addr: 010, wdata: 0a, rdata:0a
[SCB] write: 1, addr: 010, wdata: 0a, rdata:0a
[GEN] write: 0, addr: 00b, wdata: 50, rdata:xx
[DRV] write: 0, addr: 00b, wdata: 50, rdata:xx
[MON] write: 0, addr: 00b, wdata: 50, rdata:4e
[SCB] write: 0, addr: 00b, wdata: 50, rdata:4e
rdata : 4e == trans.rdata : 4e [pass!!!]
[GEN] write: 1, addr: 013, wdata: 33, rdata:xx
[DRV] write: 1, addr: 013, wdata: 33, rdata:xx
[MON] write: 1, addr: 013, wdata: 33, rdata:33
[SCB] write: 1, addr: 013, wdata: 33, rdata:33
[GEN] write: 1, addr: 012, wdata: 18, rdata:xx
[DRV] write: 1, addr: 012, wdata: 18, rdata:xx
[MON] write: 1, addr: 012, wdata: 18, rdata:18
[SCB] write: 1, addr: 012, wdata: 18, rdata:18
[GEN] write: 1, addr: 00b, wdata: 25, rdata:xx
[DRV] write: 1, addr: 00b, wdata: 25, rdata:xx
[MON] write: 1, addr: 00b, wdata: 25, rdata:25
[SCB] write: 1, addr: 00b, wdata: 25, rdata:25
[GEN] write: 1, addr: 00e, wdata: 2d, rdata:xx
[DRV] write: 1, addr: 00e, wdata: 2d, rdata:xx
[MON] write: 1, addr: 00e, wdata: 2d, rdata:2d
[SCB] write: 1, addr: 00e, wdata: 2d, rdata:2d
[GEN] write: 0, addr: 011, wdata: 3c, rdata:xx
[DRV] write: 0, addr: 011, wdata: 3c, rdata:xx
[MON] write: 0, addr: 011, wdata: 3c, rdata:38
[SCB] write: 0, addr: 011, wdata: 3c, rdata:38
rdata : 38 == trans.rdata : 38 [pass!!!]
[GEN] write: 1, addr: 013, wdata: 4c, rdata:xx
[DRV] write: 1, addr: 013, wdata: 4c, rdata:xx
[MON] write: 1, addr: 013, wdata: 4c, rdata:4c
[SCB] write: 1, addr: 013, wdata: 4c, rdata:4c
[GEN] write: 0, addr: 013, wdata: 32, rdata:xx
[DRV] write: 0, addr: 013, wdata: 32, rdata:xx
[MON] write: 0, addr: 013, wdata: 32, rdata:4c
[SCB] write: 0, addr: 013, wdata: 32, rdata:4c
rdata : 4c == trans.rdata : 4c [pass!!!]
[GEN] write: 0, addr: 00f, wdata: 40, rdata:xx
[DRV] write: 0, addr: 00f, wdata: 40, rdata:xx
[MON] write: 0, addr: 00f, wdata: 40, rdata:36
[SCB] write: 0, addr: 00f, wdata: 40, rdata:36
rdata : 36 == trans.rdata : 36 [pass!!!]
[GEN] write: 1, addr: 00c, wdata: 23, rdata:xx
[DRV] write: 1, addr: 00c, wdata: 23, rdata:xx
[MON] write: 1, addr: 00c, wdata: 23, rdata:23
[SCB] write: 1, addr: 00c, wdata: 23, rdata:23
[GEN] write: 1, addr: 013, wdata: 13, rdata:xx
[DRV] write: 1, addr: 013, wdata: 13, rdata:xx
[MON] write: 1, addr: 013, wdata: 13, rdata:13
[SCB] write: 1, addr: 013, wdata: 13, rdata:13
[GEN] write: 1, addr: 00d, wdata: 30, rdata:xx
[DRV] write: 1, addr: 00d, wdata: 30, rdata:xx
[MON] write: 1, addr: 00d, wdata: 30, rdata:30
[SCB] write: 1, addr: 00d, wdata: 30, rdata:30
[GEN] write: 0, addr: 011, wdata: 17, rdata:xx
[DRV] write: 0, addr: 011, wdata: 17, rdata:xx
[MON] write: 0, addr: 011, wdata: 17, rdata:38
[SCB] write: 0, addr: 011, wdata: 17, rdata:38
rdata : 38 == trans.rdata : 38 [pass!!!]
[GEN] write: 1, addr: 00d, wdata: 19, rdata:xx
[DRV] write: 1, addr: 00d, wdata: 19, rdata:xx
[MON] write: 1, addr: 00d, wdata: 19, rdata:19
[SCB] write: 1, addr: 00d, wdata: 19, rdata:19
[GEN] write: 0, addr: 011, wdata: 05, rdata:xx
[DRV] write: 0, addr: 011, wdata: 05, rdata:xx
[MON] write: 0, addr: 011, wdata: 05, rdata:38
[SCB] write: 0, addr: 011, wdata: 05, rdata:38
rdata : 38 == trans.rdata : 38 [pass!!!]
[GEN] write: 0, addr: 00e, wdata: 21, rdata:xx
[DRV] write: 0, addr: 00e, wdata: 21, rdata:xx
[MON] write: 0, addr: 00e, wdata: 21, rdata:2d
[SCB] write: 0, addr: 00e, wdata: 21, rdata:2d
rdata : 2d == trans.rdata : 2d [pass!!!]
[GEN] write: 1, addr: 00d, wdata: 43, rdata:xx
[DRV] write: 1, addr: 00d, wdata: 43, rdata:xx
[MON] write: 1, addr: 00d, wdata: 43, rdata:43
[SCB] write: 1, addr: 00d, wdata: 43, rdata:43
[GEN] write: 1, addr: 013, wdata: 2d, rdata:xx
[DRV] write: 1, addr: 013, wdata: 2d, rdata:xx
[MON] write: 1, addr: 013, wdata: 2d, rdata:2d
[SCB] write: 1, addr: 013, wdata: 2d, rdata:2d
[GEN] write: 1, addr: 012, wdata: 04, rdata:xx
[DRV] write: 1, addr: 012, wdata: 04, rdata:xx
[MON] write: 1, addr: 012, wdata: 04, rdata:04
[SCB] write: 1, addr: 012, wdata: 04, rdata:04
[GEN] write: 1, addr: 00e, wdata: 41, rdata:xx
[DRV] write: 1, addr: 00e, wdata: 41, rdata:xx
[MON] write: 1, addr: 00e, wdata: 41, rdata:41
[SCB] write: 1, addr: 00e, wdata: 41, rdata:41
[GEN] write: 1, addr: 00e, wdata: 01, rdata:xx
[DRV] write: 1, addr: 00e, wdata: 01, rdata:xx
[MON] write: 1, addr: 00e, wdata: 01, rdata:01
[SCB] write: 1, addr: 00e, wdata: 01, rdata:01
[GEN] write: 1, addr: 013, wdata: 12, rdata:xx
[DRV] write: 1, addr: 013, wdata: 12, rdata:xx
[MON] write: 1, addr: 013, wdata: 12, rdata:12
[SCB] write: 1, addr: 013, wdata: 12, rdata:12
[GEN] write: 1, addr: 010, wdata: 3d, rdata:xx
[DRV] write: 1, addr: 010, wdata: 3d, rdata:xx
[MON] write: 1, addr: 010, wdata: 3d, rdata:3d
[SCB] write: 1, addr: 010, wdata: 3d, rdata:3d
[GEN] write: 1, addr: 00c, wdata: 58, rdata:xx
[DRV] write: 1, addr: 00c, wdata: 58, rdata:xx
